column,dtype
X_Minimum,int64
X_Maximum,int64
Y_Minimum,int64
Y_Maximum,int64
Pixels_Areas,int64
X_Perimeter,int64
Y_Perimeter,int64
Sum_of_Luminosity,int64
Minimum_of_Luminosity,int64
Maximum_of_Luminosity,int64
Length_of_Conveyer,int64
TypeOfSteel_A300,int64
TypeOfSteel_A400,int64
Steel_Plate_Thickness,int64
Edges_Index,float64
Empty_Index,float64
Square_Index,float64
Outside_X_Index,float64
Edges_X_Index,float64
Edges_Y_Index,float64
Outside_Global_Index,float64
LogOfAreas,float64
Log_X_Index,float64
Log_Y_Index,float64
Orientation_Index,float64
Luminosity_Index,float64
SigmoidOfAreas,float64
Pastry,int64
Z_Scratch,int64
K_Scatch,int64
Stains,int64
Dirtiness,int64
Bumps,int64
Other_Faults,int64
