column,missing_count,missing_percentage
X_Minimum,0,0.0
X_Maximum,0,0.0
Y_Minimum,0,0.0
Y_Maximum,0,0.0
Pixels_Areas,0,0.0
X_Perimeter,0,0.0
Y_Perimeter,0,0.0
Sum_of_Luminosity,0,0.0
Minimum_of_Luminosity,0,0.0
Maximum_of_Luminosity,0,0.0
Length_of_Conveyer,0,0.0
TypeOfSteel_A300,0,0.0
TypeOfSteel_A400,0,0.0
Steel_Plate_Thickness,0,0.0
Edges_Index,0,0.0
Empty_Index,0,0.0
Square_Index,0,0.0
Outside_X_Index,0,0.0
Edges_X_Index,0,0.0
Edges_Y_Index,0,0.0
Outside_Global_Index,0,0.0
LogOfAreas,0,0.0
Log_X_Index,0,0.0
Log_Y_Index,0,0.0
Orientation_Index,0,0.0
Luminosity_Index,0,0.0
SigmoidOfAreas,0,0.0
Pastry,0,0.0
Z_Scratch,0,0.0
K_Scatch,0,0.0
Stains,0,0.0
Dirtiness,0,0.0
Bumps,0,0.0
Other_Faults,0,0.0
