dataset_name,display_name,algorithm_name,algorithm_display_name,n_runs,accuracy_mean,accuracy_std,selected_validation_accuracy_mean,selected_validation_accuracy_std,precision_binary_mean,precision_binary_std,recall_binary_mean,recall_binary_std,f1_binary_mean,f1_binary_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std,training_time_mean_seconds,training_time_std_seconds,test_samples,test_features,n_classes
breast_cancer,Breast Cancer Wisconsin,mlp_classifier,MLP,21,0.9728487886382624,0.01237581025535173,0.9753550543024228,0.01457805210243537,0.9700098163290843,0.022233587108090182,0.9575489110372831,0.028276815403101806,0.963367244061716,0.016804342654982214,0.9725708680374501,0.01279489629793282,0.9697760204638686,0.014496809471964764,0.9708938887206645,0.01329759223613001,0.9732377382373437,0.012192501663104673,0.9728487886382624,0.01237581025535173,0.9727970840266112,0.012424088453282578,0.1927678406190369,0.08523853522025523,114,30,2
breast_cancer,Breast Cancer Wisconsin,rbf_network,RBF Network,21,0.9302422723475355,0.030193307448553985,0.9360902255639099,0.01690568616946371,0.920299375662773,0.06087951054018196,0.8958761799293361,0.052969656077109864,0.9058695184623934,0.03916384252150807,0.9300179500484873,0.03229991709449063,0.9232575996151636,0.030614678075436615,0.925119340442945,0.031889425464659484,0.9324565854614572,0.02736745203599231,0.9302422723475355,0.030193307448553985,0.9300096707959501,0.030109345745080486,0.06116350085714083,0.009317349101416844,114,30,2
breast_cancer,Breast Cancer Wisconsin,fuzzy_cmeans,Fuzzy C-Means,21,0.9168755221386801,0.02380072827032099,0.9181286549707602,0.02025790418209213,0.9292830380654189,0.03844644747230568,0.8434319464219797,0.05459728128728654,0.8829526004006063,0.0353616860371658,0.9207457809197734,0.024165061412207315,0.9020144306221232,0.028465781670556058,0.9091958311485404,0.026581239492917432,0.9185353250326388,0.022889418299420976,0.9168755221386801,0.02380072827032099,0.9158334886617079,0.02443673201460163,0.09962991728572693,0.019527208810622924,114,30,2
breast_cancer,Breast Cancer Wisconsin,sugeno_o0,Sugeno_O0,21,0.9160401002506265,0.029561719579161542,0.929406850459482,0.019313429129848923,0.9114783931599336,0.07550169663960005,0.869139904023625,0.06758103837836839,0.8857370656812498,0.03853490283285762,0.918566044307267,0.03493538602275282,0.9065313500295485,0.030507723192416077,0.9095207511853954,0.03112033594904433,0.920303214604818,0.028084149228372265,0.9160401002506265,0.029561719579161542,0.9155354565482623,0.02937882973799255,0.027662896428577846,0.007558026239024094,114,30,2
diabetes,Pima Indians Diabetes,mlp_classifier,MLP,21,0.7489177489177489,0.04020384333551236,0.7628324056895486,0.02610511139665128,0.6593806750578862,0.07606744388744037,0.5879172074140628,0.07108995442673392,0.619379713608525,0.06153581338427592,0.7256505795646787,0.04954475578982226,0.7113937757956689,0.0434240668990568,0.7158030048029955,0.044941155047136146,0.7457555293109801,0.042463399931035886,0.7489177489177489,0.04020384333551236,0.7450889402461218,0.04041802395601671,0.5165828290952386,0.13626541373823245,154,8,2
diabetes,Pima Indians Diabetes,rbf_network,RBF Network,21,0.7204700061842919,0.0380563907736348,0.7297464440321583,0.027509500227807383,0.6293763195494602,0.0765967109518247,0.49457588765764865,0.08360502563692258,0.5496596432682238,0.06984401208996481,0.6936256945173023,0.048575584694432246,0.6678277835270799,0.043313373721859935,0.6730766803217129,0.0460872258470003,0.7131532549699328,0.04105891085358144,0.7204700061842919,0.0380563907736348,0.7105876917476248,0.03970311914609088,0.07224109166667231,0.014375369655017562,154,8,2
diabetes,Pima Indians Diabetes,sugeno_o0,Sugeno_O0,21,0.7158317872603587,0.04403654443004918,0.7217068645640075,0.02854822805719139,0.6190247564270523,0.08622740089105647,0.47930185351569,0.16601631955448137,0.5239669929059712,0.137361487045243,0.6877572525813225,0.05865477292869612,0.660655170039316,0.06737627610997658,0.6591509620995557,0.07684582730607697,0.7086552238422982,0.05273982696735489,0.7158317872603587,0.04403654443004918,0.7002833952384658,0.05914923345621141,0.024169500047621893,0.004738472322200551,154,8,2
diabetes,Pima Indians Diabetes,fuzzy_cmeans,Fuzzy C-Means,21,0.6558441558441559,0.010267135260286907,0.6586270871985158,0.010178750815840586,0.222562358276644,0.37824755466761306,0.016854680376692955,0.031088477968454546,0.03101046600112937,0.05644235492675664,0.4388319656859883,0.19215860855001676,0.506998768759775,0.014179521335970757,0.41084655964582073,0.030036185349454313,0.5044439980638595,0.13543062760464258,0.6558441558441559,0.010267135260286907,0.5262036188097502,0.02234778694892632,0.12846769833333566,0.012952603934345374,154,8,2
faults,Steel Plates Faults,mlp_classifier,MLP,21,0.7401150691639123,0.020499649577419825,0.7554000981836033,0.01637976856193976,,0.0,,0.0,,0.0,0.7644182558417834,0.02459955271284019,0.754885396812445,0.030382330004614416,0.7565948340872413,0.024962315160582428,0.7427076976805923,0.01997747981440603,0.7401150691639123,0.020499649577419825,0.740025723277471,0.02036746863799284,1.4115848937142779,0.590285443704815,389,27,7
faults,Steel Plates Faults,rbf_network,RBF Network,21,0.6729097808789325,0.026353122368592316,0.6759941089837996,0.017896007083232284,,0.0,,0.0,,0.0,0.698435382604968,0.06541059891458648,0.5631102122813474,0.0287739217979007,0.5865575374175455,0.0337378385666773,0.6858761541522226,0.028657635801853713,0.6729097808789325,0.026353122368592316,0.6566712243759179,0.025371636508357744,0.19573092495236433,0.016937010739763125,389,27,7
faults,Steel Plates Faults,sugeno_o0,Sugeno_O0,21,0.5886889460154242,0.026278982391080827,0.5871379479626903,0.023147415695876507,,0.0,,0.0,,0.0,0.46404263711949345,0.08002964849057963,0.4115337168646422,0.0536872812500786,0.4164810193882518,0.05975780153934388,0.5653209613036565,0.03441435616260626,0.5886889460154242,0.026278982391080827,0.5485584611963832,0.030691312191168628,0.15388555038094592,0.01306821325156783,389,27,7
faults,Steel Plates Faults,fuzzy_cmeans,Fuzzy C-Means,21,0.5137715754682335,0.010762760099841309,0.5096956308296514,0.010402438673427631,,0.0,,0.0,,0.0,0.27537658472588,0.045742191656637614,0.26323437016625684,0.007249208191904791,0.2226047490357997,0.011509861532241024,0.4541559805484934,0.06709960242131542,0.5137715754682335,0.010762760099841309,0.40063041640708985,0.01722047922491345,0.8649682000952366,0.59878697191322,389,27,7
robot_navigation,Wall-Following Robot Navigation,mlp_classifier,MLP,21,0.9188906331763474,0.008661335734988245,0.9260617170791322,0.005417454386630349,,0.0,,0.0,,0.0,0.9148636438900207,0.010104139529468157,0.9099251307389984,0.013036225085864725,0.9121310669545178,0.01004855499326248,0.9190052622365372,0.00869924394945303,0.9188906331763474,0.008661335734988245,0.9187935950991738,0.008670350802043562,3.6132285790000056,0.8705155971358873,1092,24,4
robot_navigation,Wall-Following Robot Navigation,rbf_network,RBF Network,21,0.6625239839525554,0.014501340215982423,0.6654881934441971,0.01839465895513873,,0.0,,0.0,,0.0,0.6695591322771483,0.022973020824020182,0.6281821037107489,0.020027289096929347,0.636176053281151,0.020498795523949346,0.6583867739910628,0.016483466320762506,0.6625239839525554,0.014501340215982423,0.6519975904478426,0.015498263804249133,0.33121653923813354,0.04517626516144753,1092,24,4
robot_navigation,Wall-Following Robot Navigation,sugeno_o0,Sugeno_O0,21,0.5459619745334031,0.019483381521307432,0.5437126271223429,0.018877352247388773,,0.0,,0.0,,0.0,0.27511953357366137,0.009253733441229721,0.34652710290465394,0.012000501200152608,0.3045654698080109,0.011566235841654606,0.4339971965024721,0.014386265266577667,0.5459619745334031,0.019483381521307432,0.4801834663790208,0.018370842197713087,0.25351876766665965,0.02176576689834136,1092,24,4
robot_navigation,Wall-Following Robot Navigation,fuzzy_cmeans,Fuzzy C-Means,21,0.5175300889586604,0.02131809463660521,0.5172624503513596,0.018818768976448675,,0.0,,0.0,,0.0,0.2617906491023703,0.012119796499515261,0.32853228593024514,0.013642804295921117,0.28941510407435456,0.012217922372961841,0.4136531792584292,0.019355210971108018,0.5175300889586604,0.02131809463660521,0.4566793816138176,0.01929134489347055,0.9806434614285665,0.24813893939607307,1092,24,4
