metric_name,algorithm_a,algorithm_b,n_datasets,mean_score_a,mean_score_b,mean_difference_a_minus_b,statistic,p_value_raw,friedman_p_value,friedman_significant,status,p_value_holm,significant_after_holm,significant_final
accuracy_mean,fuzzy_cmeans,mlp_classifier,4,0.6510053356024325,0.8451930599740678,-0.19418772437163534,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
accuracy_mean,fuzzy_cmeans,rbf_network,4,0.6510053356024325,0.7465365108408288,-0.09553117523839644,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
accuracy_mean,fuzzy_cmeans,sugeno_o0,4,0.6510053356024325,0.691630702014953,-0.04062536641252068,1.0,0.25,0.01119724671514405,True,ok,0.75,False,False
accuracy_mean,mlp_classifier,rbf_network,4,0.8451930599740678,0.7465365108408288,0.0986565491332389,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
accuracy_mean,mlp_classifier,sugeno_o0,4,0.8451930599740678,0.691630702014953,0.15356235795911466,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
accuracy_mean,rbf_network,sugeno_o0,4,0.7465365108408288,0.691630702014953,0.05490580882587576,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
f1_macro_mean,fuzzy_cmeans,mlp_classifier,4,0.4580155609761288,0.8388556986413548,-0.38084013766522595,0.0,0.125,0.007383160505359769,True,ok,0.75,False,False
f1_macro_mean,fuzzy_cmeans,rbf_network,4,0.4580155609761288,0.7052324028658385,-0.24721684188970977,0.0,0.125,0.007383160505359769,True,ok,0.75,False,False
f1_macro_mean,fuzzy_cmeans,sugeno_o0,4,0.4580155609761288,0.5724295506203034,-0.11441398964417465,0.0,0.125,0.007383160505359769,True,ok,0.75,False,False
f1_macro_mean,mlp_classifier,rbf_network,4,0.8388556986413548,0.7052324028658385,0.13362329577551618,0.0,0.125,0.007383160505359769,True,ok,0.75,False,False
f1_macro_mean,mlp_classifier,sugeno_o0,4,0.8388556986413548,0.5724295506203034,0.2664261480210513,0.0,0.125,0.007383160505359769,True,ok,0.75,False,False
f1_macro_mean,rbf_network,sugeno_o0,4,0.7052324028658385,0.5724295506203034,0.13280285224553512,0.0,0.125,0.007383160505359769,True,ok,0.75,False,False
f1_weighted_mean,fuzzy_cmeans,mlp_classifier,4,0.5748367263730914,0.8441763356623445,-0.26933960928925305,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
f1_weighted_mean,fuzzy_cmeans,rbf_network,4,0.5748367263730914,0.7373165443418337,-0.1624798179687424,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
f1_weighted_mean,fuzzy_cmeans,sugeno_o0,4,0.5748367263730914,0.6611401948405331,-0.08630346846744166,1.0,0.25,0.01119724671514405,True,ok,0.75,False,False
f1_weighted_mean,mlp_classifier,rbf_network,4,0.8441763356623445,0.7373165443418337,0.10685979132051066,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
f1_weighted_mean,mlp_classifier,sugeno_o0,4,0.8441763356623445,0.6611401948405331,0.1830361408218114,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
f1_weighted_mean,rbf_network,sugeno_o0,4,0.7373165443418337,0.6611401948405331,0.07617634950130074,0.0,0.125,0.01119724671514405,True,ok,0.75,False,False
