metric_name,dataset_name,display_name,algorithm_name,score,rank
accuracy_mean,breast_cancer,Breast Cancer Wisconsin,mlp_classifier,0.9728487886382624,1.0
accuracy_mean,breast_cancer,Breast Cancer Wisconsin,rbf_network,0.9302422723475356,2.0
accuracy_mean,breast_cancer,Breast Cancer Wisconsin,fuzzy_cmeans,0.91687552213868,3.0
accuracy_mean,breast_cancer,Breast Cancer Wisconsin,sugeno_o0,0.9160401002506264,4.0
accuracy_mean,diabetes,Pima Indians Diabetes,mlp_classifier,0.7489177489177489,1.0
accuracy_mean,diabetes,Pima Indians Diabetes,rbf_network,0.7204700061842919,2.0
accuracy_mean,diabetes,Pima Indians Diabetes,sugeno_o0,0.7158317872603587,3.0
accuracy_mean,diabetes,Pima Indians Diabetes,fuzzy_cmeans,0.6558441558441559,4.0
accuracy_mean,faults,Steel Plates Faults,mlp_classifier,0.7401150691639123,1.0
accuracy_mean,faults,Steel Plates Faults,rbf_network,0.6729097808789325,2.0
accuracy_mean,faults,Steel Plates Faults,sugeno_o0,0.5886889460154242,3.0
accuracy_mean,faults,Steel Plates Faults,fuzzy_cmeans,0.5137715754682335,4.0
accuracy_mean,robot_navigation,Wall-Following Robot Navigation,mlp_classifier,0.9188906331763474,1.0
accuracy_mean,robot_navigation,Wall-Following Robot Navigation,rbf_network,0.6625239839525554,2.0
accuracy_mean,robot_navigation,Wall-Following Robot Navigation,sugeno_o0,0.5459619745334031,3.0
accuracy_mean,robot_navigation,Wall-Following Robot Navigation,fuzzy_cmeans,0.5175300889586604,4.0
f1_macro_mean,breast_cancer,Breast Cancer Wisconsin,mlp_classifier,0.9708938887206644,1.0
f1_macro_mean,breast_cancer,Breast Cancer Wisconsin,rbf_network,0.925119340442945,2.0
f1_macro_mean,breast_cancer,Breast Cancer Wisconsin,sugeno_o0,0.9095207511853954,3.0
f1_macro_mean,breast_cancer,Breast Cancer Wisconsin,fuzzy_cmeans,0.9091958311485404,4.0
f1_macro_mean,diabetes,Pima Indians Diabetes,mlp_classifier,0.7158030048029955,1.0
f1_macro_mean,diabetes,Pima Indians Diabetes,rbf_network,0.6730766803217129,2.0
f1_macro_mean,diabetes,Pima Indians Diabetes,sugeno_o0,0.6591509620995557,3.0
f1_macro_mean,diabetes,Pima Indians Diabetes,fuzzy_cmeans,0.4108465596458207,4.0
f1_macro_mean,faults,Steel Plates Faults,mlp_classifier,0.7565948340872413,1.0
f1_macro_mean,faults,Steel Plates Faults,rbf_network,0.5865575374175455,2.0
f1_macro_mean,faults,Steel Plates Faults,sugeno_o0,0.4164810193882518,3.0
f1_macro_mean,faults,Steel Plates Faults,fuzzy_cmeans,0.2226047490357997,4.0
f1_macro_mean,robot_navigation,Wall-Following Robot Navigation,mlp_classifier,0.9121310669545178,1.0
f1_macro_mean,robot_navigation,Wall-Following Robot Navigation,rbf_network,0.636176053281151,2.0
f1_macro_mean,robot_navigation,Wall-Following Robot Navigation,sugeno_o0,0.3045654698080109,3.0
f1_macro_mean,robot_navigation,Wall-Following Robot Navigation,fuzzy_cmeans,0.2894151040743545,4.0
f1_weighted_mean,breast_cancer,Breast Cancer Wisconsin,mlp_classifier,0.9727970840266112,1.0
f1_weighted_mean,breast_cancer,Breast Cancer Wisconsin,rbf_network,0.93000967079595,2.0
f1_weighted_mean,breast_cancer,Breast Cancer Wisconsin,fuzzy_cmeans,0.915833488661708,3.0
f1_weighted_mean,breast_cancer,Breast Cancer Wisconsin,sugeno_o0,0.9155354565482624,4.0
f1_weighted_mean,diabetes,Pima Indians Diabetes,mlp_classifier,0.7450889402461218,1.0
f1_weighted_mean,diabetes,Pima Indians Diabetes,rbf_network,0.7105876917476248,2.0
f1_weighted_mean,diabetes,Pima Indians Diabetes,sugeno_o0,0.7002833952384658,3.0
f1_weighted_mean,diabetes,Pima Indians Diabetes,fuzzy_cmeans,0.5262036188097502,4.0
f1_weighted_mean,faults,Steel Plates Faults,mlp_classifier,0.740025723277471,1.0
f1_weighted_mean,faults,Steel Plates Faults,rbf_network,0.6566712243759179,2.0
f1_weighted_mean,faults,Steel Plates Faults,sugeno_o0,0.5485584611963832,3.0
f1_weighted_mean,faults,Steel Plates Faults,fuzzy_cmeans,0.4006304164070898,4.0
f1_weighted_mean,robot_navigation,Wall-Following Robot Navigation,mlp_classifier,0.9187935950991738,1.0
f1_weighted_mean,robot_navigation,Wall-Following Robot Navigation,rbf_network,0.6519975904478426,2.0
f1_weighted_mean,robot_navigation,Wall-Following Robot Navigation,sugeno_o0,0.4801834663790208,3.0
f1_weighted_mean,robot_navigation,Wall-Following Robot Navigation,fuzzy_cmeans,0.4566793816138176,4.0
